i	x	y	z	x+dif	y+dif	z+dif	xdif	ydif	zdif
49	1483.73852765	1706.84592679	0.0	1464.8541656	1720.44482015	67.7950927417	-18.884362052025637	13.598893361093033	67.7950927417015
50	1463.03814354	1743.58096367	0.0	1446.48010724	1688.68437183	-18.7826767935	-16.55803630979422	-54.8965918398902	-18.782676793451998
51	1441.75942441	1780.42461361	0.0	1385.1070044	1832.29805665	70.3839954005	-56.652420003707874	51.87344303646296	70.38399540054667
52	1419.89143745	1817.37816399	0.0	1434.27458074	1877.39075916	-51.445119729	14.383143287874972	60.01259516743062	-51.44511972896275
53	1397.42289375	1854.44281476	0.0	1473.49265636	1800.63728761	40.0467760981	76.06976261381263	-53.80552715318727	40.04677609805333
54	1374.34213888	1891.6196725	0.0	1352.06630218	1934.2063892	45.6364061352	-22.275836704832997	42.58671670053016	45.63640613520187
55	1350.63714336	1928.90974413	0.0	1387.32743574	1856.95004245	-2.57577970736	36.69029237179433	-71.9597016751616	-2.575779707355636
56	1326.29549275	1966.31393026	0.0	1326.69589957	1987.03381249	-81.9366680108	0.40040682180924136	20.719882223322813	-81.93666801077988
57	1301.30437746	2003.83301812	0.0	1280.34733034	2030.26086446	98.0814143812	-20.957047122479523	26.42784634835111	98.08141438119398
58	1275.65058239	2041.46767399	0.0	1189.94122445	1973.77044921	-92.568692856	-85.70935793883217	-67.6972247755848	-92.56869285597054
59	1249.32047612	2079.21843529	0.0	1320.1610585	2134.64145837	-94.8464327111	70.84058238169294	55.423023076129425	-94.84643271109339
60	1222.3	2117.08570209	0.0	1310.01697786	2059.62227377	-86.8510535311	87.71697786392744	-57.46342831990765	-86.85105353110569
61	1194.57465682	2155.06972814	0.0	1274.99186254	2086.26235088	-89.1342897045	80.4172057148964	-68.8073772648067	-89.13428970451152
62	1166.12949931	2193.17061137	0.0	1113.80585349	2211.58032873	-91.8451280584	-52.3236458150931	18.409717363428754	-91.84512805839182
63	1136.94911828	2231.38828375	0.0	1212.05056376	2223.91416258	-42.2241306954	75.10144548030192	-7.474121173789399	-42.22413069535662
64	1107.01763058	2269.72250068	0.0	1070.81142173	2270.36704316	62.0404618392	-36.20620884986696	0.6445424806409221	62.04046183917967
